Datetime;T_set_Bathroom;T_set_Room3;T_set_Room1;T_set_Room2;T_set_Kitchen;T_set_Dining;T_set_Living;T_m_ext;T_m_water;T_m_ground_post;Irradiation;Occupancy;switch_Bathroom;switch_Room3;switch_Room1;switch_Room2;switch_Kitchen;switch_Dining;switch_Living;T_m_Kitchen;T_m_Dining;T_m_Living;T_m_Room1;T_m_Bathroom;T_m_Room2;T_m_Room3
2021-02-26 19:30:00+00:00;16.0;17.0;17.0;17.0;16.0;16.0;20.0;6.0;40.0;15;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;19.384395321877207;19.076622159462204;19.376679155543457;17.800239025123687;17.510558716443768;17.497822592092405;17.724049918823823
2021-02-26 19:45:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;20.0;6.0;36.66666666666666;15;0.0;1;0.0;0.0;1.0;1.0;0.0;0.0;1.0;19.29409199764325;18.942176080644742;19.348053212374055;17.93087043558012;17.449032496824998;17.616250277254608;17.69889946259974
2021-02-26 20:00:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;20.0;6.0;43.0;15;0.0;1;0.0;0.0;0.0;1.0;0.0;0.0;1.0;19.205302947742666;18.817598220310174;19.423894253236483;17.873670419374605;17.392795083415308;17.772305925222895;17.683271063870734
2021-02-26 20:15:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;20.0;6.0;48.33333333333334;15;0.0;1;0.0;0.0;0.0;1.0;0.0;0.0;1.0;19.119896650738895;18.702940743232375;19.575969306485945;17.847982661525634;17.343671796778835;17.95759672873453;17.680930796098153
2021-02-26 20:30:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;16.0;6.0;37.333333333333336;15;0.0;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;19.03095844880005;18.59176524738905;19.259434125548466;17.821399634148634;17.29701862385923;18.044077304892653;17.663338269809344
2021-02-26 20:45:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;16.0;6.0;39.0;15;0.0;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.93922923256173;18.48368303973865;18.955489013435738;17.79777140127095;17.25017302271391;18.133010700701334;17.633311224218232
2021-02-26 21:00:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;16.0;5.0;40.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.830994141120527;18.364619370645187;18.658457158649526;17.76990658000443;17.164983897538377;18.211868893512758;17.580772760562184
2021-02-26 21:15:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;16.0;5.0;49.33333333333334;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.72184254361889;18.248459670923125;18.38932359713141;17.745695173438605;17.08559893980481;18.3503855680338;17.522399014171754
2021-02-26 21:30:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;16.0;5.0;49.33333333333334;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.61233437930673;18.135159115942145;18.14477553426775;17.7245828572498;17.00943343647822;18.474932170714226;17.459884189315687
2021-02-26 21:45:00+00:00;16.0;18.0;18.0;18.0;16.0;16.0;16.0;5.0;36.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.50291503248235;18.024651432414032;17.920893070740533;17.703288443567544;16.93451432974689;18.48713396321267;17.39145709734811
